formula_id,formula_label,formula,category,status,nodes,time_ms
1,F1,P(a) or not P(a),Easy,VALID,3,0.03
2,F2,P(a) -> not not P(a),Easy,VALID,4,0.02
3,F3,(P(a) and Q(a)) -> P(a),Easy,VALID,3,0.01
4,F4,P(a) -> (Q(a) -> P(a)),Easy,VALID,3,0.01
5,F5,P(a) -> P(a),Easy,VALID,2,0.01
6,F6,(exists x. P(x)) -> (forall x. P(x)),Easy,UNKNOWN,4,0.07
7,F7,Q(a) -> (P(a) or Q(a)),Easy,VALID,3,0.01
8,F8,(exists x. (P(x) and Q(x))) -> ((exists x. P(x)) and (exists x. Q(x))),Easy,VALID,8,0.12
9,F9,(P(a) and Q(a)) -> Q(a),Easy,VALID,3,0.01
10,F10,P(a) -> (Q(a) -> (P(a) and Q(a))),Easy,VALID,5,0.02
11,F11,P(a) -> ((P(a) -> Q(a)) -> Q(a)),Easy,VALID,5,0.03
12,F12,(not P(a) or Q(a)) -> (P(a) -> Q(a)),Easy,VALID,6,0.03
13,F13,P(a) -> (P(a) and Q(a)),Easy,UNKNOWN,3,0.02
14,F14,((P(a) -> Q(a)) and (Q(a) -> R(a))) -> (P(a) -> R(a)),Easy,VALID,8,0.03
15,F15,(P(a) and (Q(a) or R(a))) -> ((P(a) and Q(a)) or (P(a) and R(a))),Easy,VALID,10,0.03
16,F16,((P(a) or Q(a)) and not P(a)) -> Q(a),Easy,VALID,6,0.01
17,F17,not not P(a) -> P(a),Easy,VALID,4,0.01
18,F18,P(a) -> (exists x. P(x)),Easy,VALID,3,0.02
19,F19,(P(a) or Q(a)) -> P(a),Easy,UNKNOWN,3,0.01
20,F20,P(a) -> (P(a) or Q(a)),Easy,VALID,3,0.01
21,F21,(forall x. P(x)) -> P(a),Easy,VALID,3,0.03
22,F22,not (P(a) and not P(a)),Easy,VALID,4,0.01
23,F23,(forall x. P(x)) -> (exists x. P(x)),Easy,VALID,4,0.1
24,F24,(exists x. ((P(x) and Q(x)) -> P(x))),Easy,VALID,4,0.06
25,F25,(P(a) or Q(a)) -> ((P(a) -> R(a)) -> ((Q(a) -> R(a)) -> R(a))),Easy,VALID,12,0.04
26,F26,(P(a) -> Q(a)) -> (Q(a) -> P(a)),Easy,UNKNOWN,4,0.02
27,F27,(P(a) -> Q(a)) -> (not Q(a) -> not P(a)),Easy,VALID,7,0.02
28,F28,P(a) -> (not P(a) -> Q(a)),Easy,VALID,4,0.01
29,F29,(P(a) or Q(a)) -> (Q(a) or P(a)),Easy,VALID,5,0.02
30,F30,(not Q(a) -> not P(a)) -> (P(a) -> Q(a)),Easy,VALID,7,0.02
31,F31,(forall x. ((P(x) and Q(x)) -> P(x))),Easy,VALID,4,0.03
32,F32,(forall x. (R1(x) -> R2(x))) -> ((forall x. R1(x)) -> (forall x. R2(x))),Medium,UNKNOWN,75,1.19
33,F33,(forall x. (P(a) -> F(x))) -> (P(a) -> (forall x. F(x))),Medium,UNKNOWN,52,0.82
34,F34,((forall x. (F(x) -> G(x))) or (forall x. (F(x) -> H(x)))) -> forall x. (F(x) -> (G(x) or H(x))),Medium,VALID,13,0.08
35,F35,(not (forall x. R(x))) -> (exists x. not R(x)),Medium,VALID,6,0.04
36,F36,"(forall x. R(x,x)) -> (forall x. (forall y. R(x,y)))",Medium,UNKNOWN,6,0.06
37,F37,"(forall x. (forall y. R(x,y))) -> (forall x. (forall y. R(y,x)))",Medium,VALID,9,0.18
38,F38,((forall x. F(x)) or (forall x. G(x))) -> forall x. (F(x) or G(x)),Medium,VALID,8,0.06
39,F39,forall x. (exists y. (F(x) -> F(y))),Medium,VALID,4,0.04
40,F40,(forall x. ((F(x) and G(x)))) -> ((forall x. F(x)) and (forall x. G(x))),Medium,VALID,10,0.06
41,F41,(forall x. (F(x) -> (G(x) or H(x)))) -> ((forall x. (F(x) -> G(x))) or (forall x. (F(x) -> H(x)))),Medium,UNKNOWN,52,0.89
42,F42,((forall x. (F(x) or G(x))) and (forall x. (not F(x) or H(x))) and (forall x. (not G(x) or J(x)))) -> forall x. (H(x) or J(x)),Medium,UNKNOWN,67,1.34
43,F43,(forall x. (not R(x))) -> (not (exists x. R(x))),Medium,VALID,6,0.04
44,F44,(P(a) -> (forall x. F(x))) -> (forall x. (P(a) -> F(x))),Medium,VALID,8,0.06
45,F45,exists x. ((F(x) or G(x)) -> ((exists x. F(x)) or (exists x. G(x)))),Medium,UNKNOWN,52,7.37
46,F46,(exists x. (not R(x))) -> (not (forall x. R(x))),Medium,VALID,6,0.04
47,F47,"(forall y. (exists x. R(x,y))) -> (exists x. (forall y. R(x,y)))",Medium,UNKNOWN,52,2.09
48,F48,(exists x. R1(x)) -> (exists x. (R1(x) or R2(x))),Medium,VALID,5,0.04
49,F49,"(exists x. (forall y. R(x,y))) -> (forall y. (exists x. R(x,y)))",Medium,VALID,8,0.11
50,F50,((forall x. (F(x) -> G(x))) and (forall x. (G(x) -> H(x)))) -> forall x. (F(x) -> H(x)),Medium,UNKNOWN,52,2.07
51,F51,((exists x. F(x)) or (exists x. G(x))) -> exists x. (F(x) or G(x)),Medium,VALID,10,0.07
52,F52,(forall x. (P(x) or Q(x))) -> ((forall x. P(x)) or (forall x. Q(x))),Medium,UNKNOWN,52,0.89
53,F53,(exists y. (forall x. (F(y) -> F(x)))),Medium,UNKNOWN,52,1.96
54,F54,(exists x. (F(x) -> G(x))) -> ((forall x. F(x)) -> exists x. G(x)),Medium,VALID,9,0.06
55,F55,(not (exists x. R(x))) -> (forall x. not R(x)),Medium,VALID,6,0.03
56,F56,not (exists x. (F(x) and G(x))) -> forall x. (F(x) -> not G(x)),Medium,VALID,9,0.05
57,F57,((exists x. P(x)) and (exists x. Q(x))) -> (exists x. (P(x) and Q(x))),Medium,UNKNOWN,52,0.94
